Package,LibPath,Version,Priority,Built
abcde,/Users/jenny/Library/R/x86_64/4.1/library,0.0.0.9000,NA,4.1.2
abind,/Users/jenny/Library/R/x86_64/4.1/library,1.4-5,NA,4.1.0
archive,/Users/jenny/Library/R/x86_64/4.1/library,1.1.3,NA,4.1.0
asciicast,/Users/jenny/Library/R/x86_64/4.1/library,1.0.0,NA,4.1.0
askpass,/Users/jenny/Library/R/x86_64/4.1/library,1.1,NA,4.1.0
assertthat,/Users/jenny/Library/R/x86_64/4.1/library,0.2.1,NA,4.1.0
available,/Users/jenny/Library/R/x86_64/4.1/library,1.0.4,NA,4.1.0
aws.ec2metadata,/Users/jenny/Library/R/x86_64/4.1/library,0.2.0,NA,4.1.0
aws.signature,/Users/jenny/Library/R/x86_64/4.1/library,0.6.0,NA,4.1.0
backports,/Users/jenny/Library/R/x86_64/4.1/library,1.4.1,NA,4.1.0
base64enc,/Users/jenny/Library/R/x86_64/4.1/library,0.1-3,NA,4.1.0
bench,/Users/jenny/Library/R/x86_64/4.1/library,1.1.2,NA,4.1.0
BH,/Users/jenny/Library/R/x86_64/4.1/library,1.78.0-0,NA,4.1.0
bigrquery,/Users/jenny/Library/R/x86_64/4.1/library,1.3.2.9001,NA,4.1.0
BiocManager,/Users/jenny/Library/R/x86_64/4.1/library,1.30.18,NA,4.1.2
bit,/Users/jenny/Library/R/x86_64/4.1/library,4.0.4,NA,4.1.0
bit64,/Users/jenny/Library/R/x86_64/4.1/library,4.0.5,NA,4.1.0
bitops,/Users/jenny/Library/R/x86_64/4.1/library,1.0-7,NA,4.1.0
blob,/Users/jenny/Library/R/x86_64/4.1/library,1.2.2,NA,4.1.0
blogdown,/Users/jenny/Library/R/x86_64/4.1/library,1.8,NA,4.1.2
bookdown,/Users/jenny/Library/R/x86_64/4.1/library,0.24,NA,4.1.0
branchMover,/Users/jenny/Library/R/x86_64/4.1/library,0.0.0.9000,NA,4.1.0
brew,/Users/jenny/Library/R/x86_64/4.1/library,1.0-7,NA,4.1.2
brio,/Users/jenny/Library/R/x86_64/4.1/library,1.1.3,NA,4.1.0
broom,/Users/jenny/Library/R/x86_64/4.1/library,0.7.12,NA,4.1.2
bslib,/Users/jenny/Library/R/x86_64/4.1/library,0.4.0,NA,4.1.2
cachem,/Users/jenny/Library/R/x86_64/4.1/library,1.0.6,NA,4.1.0
callr,/Users/jenny/Library/R/x86_64/4.1/library,3.7.1,NA,4.1.2
cellranger,/Users/jenny/Library/R/x86_64/4.1/library,1.1.0,NA,4.1.0
checkmate,/Users/jenny/Library/R/x86_64/4.1/library,2.1.0,NA,4.1.2
chromote,/Users/jenny/Library/R/x86_64/4.1/library,0.1.0,NA,4.1.2
class,/Users/jenny/Library/R/x86_64/4.1/library,7.3-20,recommended,4.1.2
